k-value,Bot 1,Bot 2,Bot 5,Bot 6
1,1172.50,1072.28,2313.92,1962.97
2,1915.72,1588.07,3543.38,2938.62
3,2436.94,2003.11,4446.44,3628.83
4,2818.10,2323.30,5188.80,4183.43
5,3191.38,2598.77,5779.62,4669.85
6,3489.90,2849.72,6290.96,5078.36
7,3791.98,3118.47,6756.14,5501.62
8,4046.46,3350.05,7139.52,5851.14
9,4289.96,3590.11,7508.21,6228.62
10,4487.86,3823.55,7857.32,6576.82
11,4691.06,4040.24,8171.86,6979.42
12,4873.32,4295.82,8461.68,7388.36
13,5047.10,4521.78,8757.32,7804.79
14,5229.10,4775.87,9026.72,8226.80
15,5398.54,5059.22,9300.52,8664.43
16,5580.48,5300.36,9588.44,9146.32
17,5745.78,5610.42,9871.64,9661.40
18,5894.92,5878.48,10154.78,10151.90
19,6049.34,6200.14,10443.84,10668.71
20,6209.10,6540.69,10768.48,11208.34
21,6362.94,6921.57,11087.30,11787.43
